path	classification	pre_sha256	source_sha256	planned_sha256	actual_sha256	result
internal/database/migrations/0004_projects.sql	b03_only	ABSENT	69f5f11d6c186258c067aec98a6ffb0fab92fb1043d7743681ee0e01908763bc	69f5f11d6c186258c067aec98a6ffb0fab92fb1043d7743681ee0e01908763bc	69f5f11d6c186258c067aec98a6ffb0fab92fb1043d7743681ee0e01908763bc	APPLIED_SOURCE_EXACT
internal/database/postgres_test.go	b03_only	34b040942bb7180510477f4d5766ae262044884a0b867f2c1b209cc9919de465	7a3fcd0cdddac327eb8bab975ded9562082b994151fbe331c7ec060d0e34050d	7a3fcd0cdddac327eb8bab975ded9562082b994151fbe331c7ec060d0e34050d	7a3fcd0cdddac327eb8bab975ded9562082b994151fbe331c7ec060d0e34050d	APPLIED_SOURCE_EXACT
internal/jsoninput/decode.go	b03_only	7a59d4d1acfb4bb54332713fed65a6ef00feac1704d55b04a19324a0e357bf66	b78784c21aaecee43922875545e6ba6896a8c567c2be8c38b8672b035fc743b8	b78784c21aaecee43922875545e6ba6896a8c567c2be8c38b8672b035fc743b8	b78784c21aaecee43922875545e6ba6896a8c567c2be8c38b8672b035fc743b8	APPLIED_SOURCE_EXACT
internal/jsoninput/decode_test.go	b03_only	188e15f2cc20200f0fb6beb6355343595f1927c5c1b1afb49a24f2964aedb028	09c826698ac76a5354fea28267ff506964bbca3a95bd3e9491965add13efde21	09c826698ac76a5354fea28267ff506964bbca3a95bd3e9491965add13efde21	09c826698ac76a5354fea28267ff506964bbca3a95bd3e9491965add13efde21	APPLIED_SOURCE_EXACT
internal/projects/input.go	b03_only	ABSENT	766702cfc90e5c9d86ac8651fd69d2d7ab5be0e3c8086fad051df15a6fb3c8ac	766702cfc90e5c9d86ac8651fd69d2d7ab5be0e3c8086fad051df15a6fb3c8ac	766702cfc90e5c9d86ac8651fd69d2d7ab5be0e3c8086fad051df15a6fb3c8ac	APPLIED_SOURCE_EXACT
internal/projects/input_test.go	b03_only	ABSENT	da1cc0df362c735590c65af23835529bf3f43e342fe3f939ee5b055464bbce40	da1cc0df362c735590c65af23835529bf3f43e342fe3f939ee5b055464bbce40	da1cc0df362c735590c65af23835529bf3f43e342fe3f939ee5b055464bbce40	APPLIED_SOURCE_EXACT
internal/projects/postgres_test.go	b03_only	ABSENT	6987fd85ed171f0c7c4b8216718e7aae0db549c0f68f17cd472ea6ec32704498	6987fd85ed171f0c7c4b8216718e7aae0db549c0f68f17cd472ea6ec32704498	6987fd85ed171f0c7c4b8216718e7aae0db549c0f68f17cd472ea6ec32704498	APPLIED_SOURCE_EXACT
internal/projects/service.go	b03_only	ABSENT	3c19cc4736ce9d1617dcacd2533c2ca62fb7be45b1cd867ee6cf7eec17eee20c	3c19cc4736ce9d1617dcacd2533c2ca62fb7be45b1cd867ee6cf7eec17eee20c	3c19cc4736ce9d1617dcacd2533c2ca62fb7be45b1cd867ee6cf7eec17eee20c	APPLIED_SOURCE_EXACT
internal/projects/storage.go	b03_only	ABSENT	a2f13194639616830f4da7b381be21024416b5045e38e8c86ad96d5108d8344e	a2f13194639616830f4da7b381be21024416b5045e38e8c86ad96d5108d8344e	a2f13194639616830f4da7b381be21024416b5045e38e8c86ad96d5108d8344e	APPLIED_SOURCE_EXACT
internal/projects/types.go	b03_only	ABSENT	69b5a5eea9c20dfce2f70e8c599a8c10b77a148f41d4a72ec4e9c04fd7f604ce	69b5a5eea9c20dfce2f70e8c599a8c10b77a148f41d4a72ec4e9c04fd7f604ce	69b5a5eea9c20dfce2f70e8c599a8c10b77a148f41d4a72ec4e9c04fd7f604ce	APPLIED_SOURCE_EXACT
internal/secrets/inspection.go	b03_only	ABSENT	cebb0be302d6365f2cb8774af6882bab1bac472385f89456016efd566656203e	cebb0be302d6365f2cb8774af6882bab1bac472385f89456016efd566656203e	cebb0be302d6365f2cb8774af6882bab1bac472385f89456016efd566656203e	APPLIED_SOURCE_EXACT
internal/web/project_browser_test.go	b03_only	ABSENT	530171f013c89dc6a72a0161e993b3aa2205b57c86abde9400b961b3c3e73b33	530171f013c89dc6a72a0161e993b3aa2205b57c86abde9400b961b3c3e73b33	530171f013c89dc6a72a0161e993b3aa2205b57c86abde9400b961b3c3e73b33	APPLIED_SOURCE_EXACT
internal/web/project_process_test.go	b03_only	ABSENT	0974cb5fd69c486ab19c5ce86f7277326bfd6b08acd0289b3d1fc9ea041a1d4a	0974cb5fd69c486ab19c5ce86f7277326bfd6b08acd0289b3d1fc9ea041a1d4a	0974cb5fd69c486ab19c5ce86f7277326bfd6b08acd0289b3d1fc9ea041a1d4a	APPLIED_SOURCE_EXACT
internal/web/projects.go	b03_only	ABSENT	150bb766dc9bc4f3a7347e4cccb9fda64635a93d3401d87a55616b9460e87054	150bb766dc9bc4f3a7347e4cccb9fda64635a93d3401d87a55616b9460e87054	150bb766dc9bc4f3a7347e4cccb9fda64635a93d3401d87a55616b9460e87054	APPLIED_SOURCE_EXACT
internal/web/server.go	b03_only	ae30dc0061bd87633cbae7bf430359fd7c0c5366550f0fcf62f9cdada05cdf5d	d4cb0d947209659b931b90575f67c8a569f95df1209a3c4d8b9b9c97f5818d22	d4cb0d947209659b931b90575f67c8a569f95df1209a3c4d8b9b9c97f5818d22	d4cb0d947209659b931b90575f67c8a569f95df1209a3c4d8b9b9c97f5818d22	APPLIED_SOURCE_EXACT
internal/web/server_test.go	b03_only	c43d82882af5cecd88f4fb2274251ed0cdcce62e922bf8ee1374b7532770b24d	42ca905f7fd11f6f9901daf683650f88f6184a9608c32d53231cc2064a24cf70	42ca905f7fd11f6f9901daf683650f88f6184a9608c32d53231cc2064a24cf70	42ca905f7fd11f6f9901daf683650f88f6184a9608c32d53231cc2064a24cf70	APPLIED_SOURCE_EXACT
scripts/build.ps1	b03_only	98191d5a465610cf8d0e064d18c9284703188bc88cfca997d626e27d5a0929f0	b7906a37468c6a8fa0c965f3da93238f0009983ed79633d77d988499b2ea2662	b7906a37468c6a8fa0c965f3da93238f0009983ed79633d77d988499b2ea2662	b7906a37468c6a8fa0c965f3da93238f0009983ed79633d77d988499b2ea2662	APPLIED_SOURCE_EXACT
scripts/verify-batch.ps1	b03_only	3c4128c8c510be2974aeb7497bb58ca02acd8cacb3e01519642d24adbfcb548f	eb74b9055c8ef2364bc2cc1a4a3c291b253f1e8513bed367d9ba227df9ba2f36	eb74b9055c8ef2364bc2cc1a4a3c291b253f1e8513bed367d9ba227df9ba2f36	eb74b9055c8ef2364bc2cc1a4a3c291b253f1e8513bed367d9ba227df9ba2f36	APPLIED_SOURCE_EXACT
web/package.json	b03_only	b8a18f20febc991e51b2cb9a864a54fee3fd12704551107dca3f61bce759ee56	0a8a6f788ab20852219c500e902545c7551ca37fc760cf440c779b668361aee5	0a8a6f788ab20852219c500e902545c7551ca37fc760cf440c779b668361aee5	0a8a6f788ab20852219c500e902545c7551ca37fc760cf440c779b668361aee5	APPLIED_SOURCE_EXACT
web/src/AuthEntry.tsx	b03_only	e21db9bf31befffb13eff84eaa090f083dd4e24fb17cda6ffb7c8f409b4a1c87	f33ddd8d2f88c276a1a6076b3e2c2b204608292ee4efb3de2d41364309aa1dd2	f33ddd8d2f88c276a1a6076b3e2c2b204608292ee4efb3de2d41364309aa1dd2	f33ddd8d2f88c276a1a6076b3e2c2b204608292ee4efb3de2d41364309aa1dd2	APPLIED_SOURCE_EXACT
web/src/AuthResult.tsx	b03_only	dfb1245fbdea2e8aaca30bd4a2ff1ab663542c220cbc6557864155360df652a2	a95e6ac814f07060bc38f05224584f8a7a99924408028498d8a6b93f70a37ffc	a95e6ac814f07060bc38f05224584f8a7a99924408028498d8a6b93f70a37ffc	a95e6ac814f07060bc38f05224584f8a7a99924408028498d8a6b93f70a37ffc	APPLIED_SOURCE_EXACT
web/src/ConfigurationFields.tsx	b03_only	ABSENT	089dd1dd902b545fd60d1fa05b8ed0f183ceb0196ae62b59f2563790070f2134	089dd1dd902b545fd60d1fa05b8ed0f183ceb0196ae62b59f2563790070f2134	089dd1dd902b545fd60d1fa05b8ed0f183ceb0196ae62b59f2563790070f2134	APPLIED_SOURCE_EXACT
web/src/CreateProjectPage.tsx	b03_only	ABSENT	9cc5d35da36ca09ee8e7eb9048bf3329f9a37c440ec136ffe7b58116725a0d8f	9cc5d35da36ca09ee8e7eb9048bf3329f9a37c440ec136ffe7b58116725a0d8f	9cc5d35da36ca09ee8e7eb9048bf3329f9a37c440ec136ffe7b58116725a0d8f	APPLIED_SOURCE_EXACT
web/src/ProjectOperationPage.tsx	b03_only	ABSENT	fc44cd01da3db355605e93a6a3a80a7164134bde1cfa80bfa78f81520adef6c2	fc44cd01da3db355605e93a6a3a80a7164134bde1cfa80bfa78f81520adef6c2	fc44cd01da3db355605e93a6a3a80a7164134bde1cfa80bfa78f81520adef6c2	APPLIED_SOURCE_EXACT
web/src/ProjectOperationResult.tsx	b03_only	ABSENT	7fd334d24493eaa9e12e2a7724cbfc08e7f4bb30e95f537ef5c7d001a86c0bc4	7fd334d24493eaa9e12e2a7724cbfc08e7f4bb30e95f537ef5c7d001a86c0bc4	7fd334d24493eaa9e12e2a7724cbfc08e7f4bb30e95f537ef5c7d001a86c0bc4	APPLIED_SOURCE_EXACT
web/src/ProjectPage.tsx	b03_only	ABSENT	fef95e0b14c90ddd3b928bae93d202ca0782f4564f1c152fd608fe3227402e6d	fef95e0b14c90ddd3b928bae93d202ca0782f4564f1c152fd608fe3227402e6d	fef95e0b14c90ddd3b928bae93d202ca0782f4564f1c152fd608fe3227402e6d	APPLIED_SOURCE_EXACT
web/src/ProjectSettingsPage.tsx	b03_only	ABSENT	252a521c97dad5ea060d1cd40096ede020bd03a7a2afd64b3d4f76e6188367a8	252a521c97dad5ea060d1cd40096ede020bd03a7a2afd64b3d4f76e6188367a8	252a521c97dad5ea060d1cd40096ede020bd03a7a2afd64b3d4f76e6188367a8	APPLIED_SOURCE_EXACT
web/src/ProjectShell.tsx	b03_only	ABSENT	ac24a5fcd4f8335daa150d9c4a70aeeb3ab15308ea4906ed31925f74498793c9	ac24a5fcd4f8335daa150d9c4a70aeeb3ab15308ea4906ed31925f74498793c9	ac24a5fcd4f8335daa150d9c4a70aeeb3ab15308ea4906ed31925f74498793c9	APPLIED_SOURCE_EXACT
web/src/ProjectsPage.tsx	b03_only	ABSENT	e379f7596bf2d92f4fbad2ebdd4ea9d810b062d802f117f838e14ea2991cd4da	e379f7596bf2d92f4fbad2ebdd4ea9d810b062d802f117f838e14ea2991cd4da	e379f7596bf2d92f4fbad2ebdd4ea9d810b062d802f117f838e14ea2991cd4da	APPLIED_SOURCE_EXACT
web/src/RepositoryHome.tsx	b03_only	8989b0899ae0e9fef862fa2aab60290b830c7ce44423f22dedf600ae9d5b1590	1bb19287364800147824e228e1a5d6e4afa5199d3c67e8c99f466e13be585d4e	1bb19287364800147824e228e1a5d6e4afa5199d3c67e8c99f466e13be585d4e	1bb19287364800147824e228e1a5d6e4afa5199d3c67e8c99f466e13be585d4e	APPLIED_SOURCE_EXACT
web/src/RepositoryPicker.tsx	b03_only	ABSENT	a45458c8c0298c0fa78516e2fa3c2912a1893287a8b671fd6bac4e6d5717e56f	a45458c8c0298c0fa78516e2fa3c2912a1893287a8b671fd6bac4e6d5717e56f	a45458c8c0298c0fa78516e2fa3c2912a1893287a8b671fd6bac4e6d5717e56f	APPLIED_SOURCE_EXACT
web/src/api.test.mjs	b03_only	77b3b2b928c75ad3e23763f00f877b4cf06b5afd08306fb1e780570ed8e9fc88	06edb894bbf6d75319c42631f036b91b42df7ee82ce95d8946a86e3123bd3617	06edb894bbf6d75319c42631f036b91b42df7ee82ce95d8946a86e3123bd3617	06edb894bbf6d75319c42631f036b91b42df7ee82ce95d8946a86e3123bd3617	APPLIED_SOURCE_EXACT
web/src/api.ts	b03_only	78861f6027dba02db2009673d625069da5665d147007086eebc7c751adc9f09f	422c3e3df974c16ce825236082770b91f862a962482dc597e6d724e0594bab63	422c3e3df974c16ce825236082770b91f862a962482dc597e6d724e0594bab63	422c3e3df974c16ce825236082770b91f862a962482dc597e6d724e0594bab63	APPLIED_SOURCE_EXACT
web/src/main.tsx	b03_only	5bcc1b22de7b72c13dff2f93808c98eb436ee400cf501a68066ec6e5e8daedfe	a3a13477481627e7161a1302478a31151995df05d3dea7bccf67fc4c785f330e	a3a13477481627e7161a1302478a31151995df05d3dea7bccf67fc4c785f330e	a3a13477481627e7161a1302478a31151995df05d3dea7bccf67fc4c785f330e	APPLIED_SOURCE_EXACT
web/src/project.test.mjs	b03_only	ABSENT	835d660679eee9e35e8a9615363ee853592ac5a2b08a546c47771476b8afc8de	835d660679eee9e35e8a9615363ee853592ac5a2b08a546c47771476b8afc8de	835d660679eee9e35e8a9615363ee853592ac5a2b08a546c47771476b8afc8de	APPLIED_SOURCE_EXACT
